requirement;class
The clinician and locator system must verify that they are interacting about the same patient. Patient identity may be agreed upon by a number means including demographic information  agreed-to mapping of patient IDs  or shared patient ID. The means is dependent on whether the locator service is provided by a third-party  or part of available community or regional services. A set of traits (such as name  DOB  gender  etc.) may be used by a locator service to perform a probabilistic match. ...;4
The consulting clinician provides care for the patient and documents patient encounter(s) in the EHR as much as possible.;3
The care coordinator considers whether the patient may require transfer to another care setting (e.g. rehabilitation, assisted living, home health) upon discharge.;4
The system shall allow the user to read the details of the tip and the user shall enter a review description.;2
The system shall support basic inventory management, and the users shall have a toolbar access to labs.;2
The consulting clinician may review patient data evaluate the patient and perform medication reconciliation for any modified medications as stated in the 2007 Medication Management Use Case.;2
The system shall return the greatest results.;5
The user shall either be trusted or not trusted.;4
Then the restaurant owner should be able to manage information in a form such as restaurant and menu information.;0
The system shall have an optimal response time for the end-user.;3
